pipeline,phase_no,phase,io,field,value
primary,1,Problem & hypotheses,input,research question,seizure severity drivers
primary,1,Problem & hypotheses,input,unit,patient EP001..EP500
primary,1,Problem & hypotheses,process,define DV/IV,severity L1-4
primary,1,Problem & hypotheses,process,hypotheses,IV->DV + test
primary,1,Problem & hypotheses,output,variable dictionary,DV/IV/covariate
primary,1,Problem & hypotheses,output,hypotheses.md,documented
primary,2,Data ingestion,input,source,role assessments (10 roles)
primary,2,Data ingestion,input,real EEG,EEG-Eye-State
primary,2,Data ingestion,process,materialise cohort,make_cohort.py
primary,2,Data ingestion,process,data contract,schema enforced
primary,2,Data ingestion,output,cohort_primary.csv,500 rows
primary,2,Data ingestion,output,contract,validated
primary,3,Validation / QC,input,raw cohort,500x N
primary,3,Validation / QC,input,rules,range/null/type
primary,3,Validation / QC,process,quality checks,data_quality.py
primary,3,Validation / QC,process,flag issues,report
primary,3,Validation / QC,output,data_quality_report.csv,per-column
primary,3,Validation / QC,output,quality score,0-100
primary,4,Preparation,input,validated cohort,clean input
primary,4,Preparation,input,policy,impute/outlier/encode
primary,4,Preparation,process,preprocess,preprocessing.py
primary,4,Preparation,process,scale/encode,one-hot + z-score
primary,4,Preparation,output,primary_clean_features.csv,features
primary,4,Preparation,output,fitted pipeline,persisted
primary,5,Feature engineering / store,input,clean features,matrix
primary,5,Feature engineering / store,input,domain map,weightage
primary,5,Feature engineering / store,process,derive features,feature_store.py
primary,5,Feature engineering / store,process,select,MI + importance
primary,5,Feature engineering / store,output,primary_selected_features.csv,top-k
primary,5,Feature engineering / store,output,feature metadata,catalogued
primary,6,Model development + HPO,input,feature matrix,"X,y"
primary,6,Model development + HPO,input,model space,logit/RF/ordinal
primary,6,Model development + HPO,process,train,primary_analysis.py
primary,6,Model development + HPO,process,HPO,GridSearchCV
primary,6,Model development + HPO,output,AUC / accuracy matrix,computed
primary,6,Model development + HPO,output,model card,written
primary,7,Evaluation / validation,input,held-out set,test
primary,7,Evaluation / validation,input,real data,external_validation.csv
primary,7,Evaluation / validation,process,metrics,AUC/Brier/C-index
primary,7,Evaluation / validation,process,DeLong + bootstrap CIs,rigor
primary,7,Evaluation / validation,output,scorecard,metrics
