source,relation,target
EP001,hasSeizureType,focal
EP001,hasSeverity,severity_l3
EP001,treatedWith,levetiracetam
EP001,assessedBy,neurologist
EP001,assessedBy,eeg_tech
EP001,atRiskOf,breakthrough
focal,localizesTo,temporal_lobe
focal,canEvolveTo,ftbtc
line_length,predicts,breakthrough
band_gamma,predicts,breakthrough
plv,predicts,breakthrough
spike_rate,indicates,focal
eeg_tech,measures,line_length
eeg_tech,measures,band_gamma
eeg_tech,measures,plv
neurologist,prescribes,levetiracetam
levetiracetam,reduces,breakthrough
lamotrigine,treats,focal
valproate,treats,generalized
absence,classifiedBy,ilae
generalized,classifiedBy,ilae
breakthrough,canEscalateTo,status_epilepticus
ilae,grounds,neurologist
